"","litter","dose","nadv","malf","dead","litter_size","dose_scale"
"1",1,1000,0,0,1,1,0.666666666666667
"2",2,1000,0,0,4,4,0.666666666666667
"3",3,1500,0,9,4,13,1
"4",4,1000,0,0,6,6,0.666666666666667
"5",5,1000,0,0,6,6,0.666666666666667
"6",6,1500,0,6,6,12,1
"7",7,1500,0,4,7,11,1
"8",8,1500,0,0,9,9,1
"9",9,1500,0,5,9,14,1
"10",10,1500,0,5,9,14,1
"11",11,1500,0,5,9,14,1
"12",12,1500,0,5,9,14,1
"13",13,1500,0,5,9,14,1
"14",14,1000,0,6,9,15,0.666666666666667
"15",15,1000,0,6,9,15,0.666666666666667
"16",16,1000,0,0,10,10,0.666666666666667
"17",17,1000,0,0,10,10,0.666666666666667
"18",18,1000,0,0,10,10,0.666666666666667
"19",19,1000,0,0,10,10,0.666666666666667
"20",20,1500,0,0,10,10,1
"21",21,1500,0,0,10,10,1
"22",22,1000,0,2,10,12,0.666666666666667
"23",23,1500,0,2,10,12,1
"24",24,1500,0,0,11,11,1
"25",25,1500,0,0,11,11,1
"26",26,1500,0,0,11,11,1
"27",27,1000,0,0,12,12,0.666666666666667
"28",28,1000,0,0,12,12,0.666666666666667
"29",29,1500,0,0,12,12,1
"30",30,1500,0,0,12,12,1
"31",31,1500,0,0,12,12,1
"32",32,1500,0,0,12,12,1
"33",33,1500,0,0,12,12,1
"34",34,1500,0,0,13,13,1
"35",35,1500,0,0,13,13,1
"36",36,1500,0,0,13,13,1
"37",37,1500,0,0,13,13,1
"38",38,1500,0,4,13,17,1
"39",39,1500,0,0,14,14,1
"40",40,1500,1,4,8,13,1
"41",41,1500,1,4,8,13,1
"42",42,1000,1,3,9,13,0.666666666666667
"43",43,1000,1,1,16,18,0.666666666666667
"44",44,1000,2,6,3,11,0.666666666666667
"45",45,1000,2,3,7,12,0.666666666666667
"46",46,0,3,0,5,8,0
"47",47,0,3,0,5,8,0
"48",48,0,3,0,5,8,0
"49",49,1000,5,4,2,11,0.666666666666667
"50",50,500,5,6,3,14,0.333333333333333
"51",51,500,5,6,3,14,0.333333333333333
"52",52,1500,5,4,4,13,1
"53",53,1500,5,4,4,13,1
"54",54,500,6,5,3,14,0.333333333333333
"55",55,500,6,1,4,11,0.333333333333333
"56",56,500,6,1,4,11,0.333333333333333
"57",57,0,6,0,10,16,0
"58",58,0,6,0,10,16,0
"59",59,500,7,3,1,11,0.333333333333333
"60",60,0,7,0,2,9,0
"61",61,1000,7,1,2,10,0.666666666666667
"62",62,0,7,0,9,16,0
"63",63,500,8,0,0,8,0.333333333333333
"64",64,500,8,0,0,8,0.333333333333333
"65",65,500,8,0,0,8,0.333333333333333
"66",66,1000,8,4,2,14,0.666666666666667
"67",67,0,8,0,3,11,0
"68",68,250,9,0,0,9,0.166666666666667
"69",69,0,9,0,1,10,0
"70",70,1000,9,1,1,11,0.666666666666667
"71",71,1000,9,1,1,11,0.666666666666667
"72",72,500,9,1,2,12,0.333333333333333
"73",73,500,9,1,2,12,0.333333333333333
"74",74,500,9,2,2,13,0.333333333333333
"75",75,500,9,2,3,14,0.333333333333333
"76",76,500,9,2,3,14,0.333333333333333
"77",77,0,10,2,0,12,0
"78",78,0,10,2,0,12,0
"79",79,500,10,2,0,12,0.333333333333333
"80",80,0,10,3,0,13,0
"81",81,0,10,3,0,13,0
"82",82,500,10,0,1,11,0.333333333333333
"83",83,500,10,0,1,11,0.333333333333333
"84",84,250,10,1,1,12,0.166666666666667
"85",85,250,10,1,1,12,0.166666666666667
"86",86,250,10,1,2,13,0.166666666666667
"87",87,250,11,0,0,11,0.166666666666667
"88",88,250,11,0,0,11,0.166666666666667
"89",89,250,11,0,0,11,0.166666666666667
"90",90,250,11,0,1,12,0.166666666666667
"91",91,250,11,0,1,12,0.166666666666667
"92",92,250,11,0,1,12,0.166666666666667
"93",93,250,11,0,1,12,0.166666666666667
"94",94,250,11,0,1,12,0.166666666666667
"95",95,0,11,1,1,13,0
"96",96,0,11,1,2,14,0
"97",97,0,11,1,2,14,0
"98",98,250,11,0,4,15,0.166666666666667
"99",99,250,11,0,4,15,0.166666666666667
"100",100,250,11,0,4,15,0.166666666666667
"101",101,0,12,0,0,12,0
"102",102,0,12,0,0,12,0
"103",103,0,12,0,0,12,0
"104",104,500,12,0,0,12,0.333333333333333
"105",105,500,12,0,0,12,0.333333333333333
"106",106,500,12,0,0,12,0.333333333333333
"107",107,250,12,0,1,13,0.166666666666667
"108",108,250,12,0,1,13,0.166666666666667
"109",109,500,12,0,2,14,0.333333333333333
"110",110,1000,12,0,2,14,0.666666666666667
"111",111,250,13,0,0,13,0.166666666666667
"112",112,250,13,0,0,13,0.166666666666667
"113",113,250,13,0,0,13,0.166666666666667
"114",114,250,13,0,0,13,0.166666666666667
"115",115,250,13,0,1,14,0.166666666666667
"116",116,500,13,1,1,15,0.333333333333333
"117",117,0,14,0,0,14,0
"118",118,500,14,0,0,14,0.333333333333333
"119",119,250,14,0,1,15,0.166666666666667
"120",120,250,14,1,1,16,0.166666666666667
"121",121,250,14,1,1,16,0.166666666666667
"122",122,250,14,1,1,16,0.166666666666667
"123",123,250,14,1,1,16,0.166666666666667
"124",124,0,15,0,0,15,0
"125",125,0,16,0,0,16,0
